"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1729","Check displaying of empty courses list","LMS system","Sat Feb 07 11:59:27 UTC 2026","passed","Sat Feb 07 11:59:29 UTC 2026","Courses","Courses","",""
"","1752","Check displaying of dashboard page","LMS system","Sat Feb 07 11:59:43 UTC 2026","passed","Sat Feb 07 11:59:45 UTC 2026","Dashboard","Dashboard","",""
"","1918","User login with wrong email or password","LMS system","Sat Feb 07 11:59:09 UTC 2026","passed","Sat Feb 07 11:59:11 UTC 2026","Autherization","Authentification","",""
"","2954","User create course","LMS system","Sat Feb 07 11:59:37 UTC 2026","passed","Sat Feb 07 11:59:40 UTC 2026","Courses","Courses","",""
"","1782","User login with wrong email or password","LMS system","Sat Feb 07 11:59:07 UTC 2026","passed","Sat Feb 07 11:59:09 UTC 2026","Autherization","Authentification","",""
"","2694","User login with correct email and password","LMS system","Sat Feb 07 11:59:12 UTC 2026","passed","Sat Feb 07 11:59:15 UTC 2026","Autherization","Authentification","",""
"","1550","User login with wrong email or password","LMS system","Sat Feb 07 11:59:17 UTC 2026","passed","Sat Feb 07 11:59:19 UTC 2026","Autherization","Authentification","",""
"","3000","User create course","LMS system","Sat Feb 07 11:59:29 UTC 2026","passed","Sat Feb 07 11:59:32 UTC 2026","Courses","Courses","",""
"","2743","User edit course","LMS system","Sat Feb 07 11:59:32 UTC 2026","passed","Sat Feb 07 11:59:35 UTC 2026","Courses","Courses","",""
"","1872","User login with wrong email or password","LMS system","Sat Feb 07 11:59:12 UTC 2026","passed","Sat Feb 07 11:59:13 UTC 2026","Autherization","Authentification","",""
"","1625","User login with wrong email or password","LMS system","Sat Feb 07 11:59:15 UTC 2026","passed","Sat Feb 07 11:59:17 UTC 2026","Autherization","Authentification","",""
"","2951","User edit course","LMS system","Sat Feb 07 11:59:37 UTC 2026","passed","Sat Feb 07 11:59:40 UTC 2026","Courses","Courses","",""
"","1804","User registration with correct email and password","LMS system","Sat Feb 07 11:59:25 UTC 2026","passed","Sat Feb 07 11:59:27 UTC 2026","Registration","Authentification","",""
"","1557","Navigate from login page to registration page","LMS system","Sat Feb 07 11:59:23 UTC 2026","passed","Sat Feb 07 11:59:24 UTC 2026","Autherization","Authentification","",""
"","1798","User login with wrong email or password","LMS system","Sat Feb 07 11:59:19 UTC 2026","passed","Sat Feb 07 11:59:21 UTC 2026","Autherization","Authentification","",""
"","2193","User registration with correct email and password","LMS system","Sat Feb 07 11:59:21 UTC 2026","passed","Sat Feb 07 11:59:24 UTC 2026","Registration","Authentification","",""
"","1953","Check displaying of dashboard page","LMS system","Sat Feb 07 11:59:41 UTC 2026","passed","Sat Feb 07 11:59:43 UTC 2026","Dashboard","Dashboard","",""
"","1640","Navigate from login page to registration page","LMS system","Sat Feb 07 11:59:20 UTC 2026","passed","Sat Feb 07 11:59:21 UTC 2026","Autherization","Authentification","",""
"","2922","User login with correct email and password","LMS system","Sat Feb 07 11:59:07 UTC 2026","passed","Sat Feb 07 11:59:10 UTC 2026","Autherization","Authentification","",""
"","1713","Check displaying of empty courses list","LMS system","Sat Feb 07 11:59:31 UTC 2026","passed","Sat Feb 07 11:59:33 UTC 2026","Courses","Courses","",""
