"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2190","User registration with correct email and password","LMS system","Sun Feb 15 12:58:59 UTC 2026","passed","Sun Feb 15 12:59:01 UTC 2026","Registration","Authentification","",""
"","2088","Check displaying of dashboard page","LMS system","Sun Feb 15 12:59:17 UTC 2026","passed","Sun Feb 15 12:59:19 UTC 2026","Dashboard","Dashboard","",""
"","1926","User login with wrong email or password","LMS system","Sun Feb 15 12:58:47 UTC 2026","passed","Sun Feb 15 12:58:48 UTC 2026","Autherization","Authentification","",""
"","1656","User login with wrong email or password","LMS system","Sun Feb 15 12:58:52 UTC 2026","passed","Sun Feb 15 12:58:54 UTC 2026","Autherization","Authentification","",""
"","1641","User login with wrong email or password","LMS system","Sun Feb 15 12:58:56 UTC 2026","passed","Sun Feb 15 12:58:58 UTC 2026","Autherization","Authentification","",""
"","2968","User edit course","LMS system","Sun Feb 15 12:59:16 UTC 2026","passed","Sun Feb 15 12:59:19 UTC 2026","Courses","Courses","",""
"","2049","User login with wrong email or password","LMS system","Sun Feb 15 12:58:49 UTC 2026","passed","Sun Feb 15 12:58:51 UTC 2026","Autherization","Authentification","",""
"","1870","Check displaying of empty courses list","LMS system","Sun Feb 15 12:59:04 UTC 2026","passed","Sun Feb 15 12:59:06 UTC 2026","Courses","Courses","",""
"","1522","User login with wrong email or password","LMS system","Sun Feb 15 12:58:54 UTC 2026","passed","Sun Feb 15 12:58:56 UTC 2026","Autherization","Authentification","",""
"","2275","User login with wrong email or password","LMS system","Sun Feb 15 12:58:44 UTC 2026","passed","Sun Feb 15 12:58:46 UTC 2026","Autherization","Authentification","",""
"","1655","Navigate from login page to registration page","LMS system","Sun Feb 15 12:59:00 UTC 2026","passed","Sun Feb 15 12:59:02 UTC 2026","Autherization","Authentification","",""
"","1881","User registration with correct email and password","LMS system","Sun Feb 15 12:59:03 UTC 2026","passed","Sun Feb 15 12:59:05 UTC 2026","Registration","Authentification","",""
"","2751","User create course","LMS system","Sun Feb 15 12:59:13 UTC 2026","passed","Sun Feb 15 12:59:16 UTC 2026","Courses","Courses","",""
"","3141","User create course","LMS system","Sun Feb 15 12:59:06 UTC 2026","passed","Sun Feb 15 12:59:10 UTC 2026","Courses","Courses","",""
"","1916","Navigate from login page to registration page","LMS system","Sun Feb 15 12:58:57 UTC 2026","passed","Sun Feb 15 12:58:59 UTC 2026","Autherization","Authentification","",""
"","3173","User login with correct email and password","LMS system","Sun Feb 15 12:58:44 UTC 2026","passed","Sun Feb 15 12:58:47 UTC 2026","Autherization","Authentification","",""
"","2835","User login with correct email and password","LMS system","Sun Feb 15 12:58:49 UTC 2026","passed","Sun Feb 15 12:58:52 UTC 2026","Autherization","Authentification","",""
"","1852","Check displaying of empty courses list","LMS system","Sun Feb 15 12:59:09 UTC 2026","passed","Sun Feb 15 12:59:10 UTC 2026","Courses","Courses","",""
"","1993","Check displaying of dashboard page","LMS system","Sun Feb 15 12:59:21 UTC 2026","passed","Sun Feb 15 12:59:23 UTC 2026","Dashboard","Dashboard","",""
"","3182","User edit course","LMS system","Sun Feb 15 12:59:10 UTC 2026","passed","Sun Feb 15 12:59:13 UTC 2026","Courses","Courses","",""
