"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1878","User registration with correct email and password","LMS system","Sat Feb 07 11:55:07 UTC 2026","passed","Sat Feb 07 11:55:09 UTC 2026","Registration","Authentification","",""
"","1799","User login with wrong email or password","LMS system","Sat Feb 07 11:55:00 UTC 2026","passed","Sat Feb 07 11:55:02 UTC 2026","Autherization","Authentification","",""
"","1921","Check displaying of dashboard page","LMS system","Sat Feb 07 11:55:23 UTC 2026","passed","Sat Feb 07 11:55:25 UTC 2026","Dashboard","Dashboard","",""
"","2604","User create course","LMS system","Sat Feb 07 11:55:17 UTC 2026","passed","Sat Feb 07 11:55:19 UTC 2026","Courses","Courses","",""
"","2394","User edit course","LMS system","Sat Feb 07 11:55:24 UTC 2026","passed","Sat Feb 07 11:55:26 UTC 2026","Courses","Courses","",""
"","2623","User login with correct email and password","LMS system","Sat Feb 07 11:54:53 UTC 2026","passed","Sat Feb 07 11:54:55 UTC 2026","Autherization","Authentification","",""
"","1871","User login with wrong email or password","LMS system","Sat Feb 07 11:55:04 UTC 2026","passed","Sat Feb 07 11:55:06 UTC 2026","Autherization","Authentification","",""
"","1496","Navigate from login page to registration page","LMS system","Sat Feb 07 11:55:05 UTC 2026","passed","Sat Feb 07 11:55:07 UTC 2026","Autherization","Authentification","",""
"","1724","Check displaying of dashboard page","LMS system","Sat Feb 07 11:55:28 UTC 2026","passed","Sat Feb 07 11:55:30 UTC 2026","Dashboard","Dashboard","",""
"","2720","User edit course","LMS system","Sat Feb 07 11:55:20 UTC 2026","passed","Sat Feb 07 11:55:23 UTC 2026","Courses","Courses","",""
"","1845","User registration with correct email and password","LMS system","Sat Feb 07 11:55:12 UTC 2026","passed","Sat Feb 07 11:55:13 UTC 2026","Registration","Authentification","",""
"","2921","User login with correct email and password","LMS system","Sat Feb 07 11:54:57 UTC 2026","passed","Sat Feb 07 11:55:00 UTC 2026","Autherization","Authentification","",""
"","2909","User create course","LMS system","Sat Feb 07 11:55:18 UTC 2026","passed","Sat Feb 07 11:55:21 UTC 2026","Courses","Courses","",""
"","1914","Navigate from login page to registration page","LMS system","Sat Feb 07 11:55:08 UTC 2026","passed","Sat Feb 07 11:55:10 UTC 2026","Autherization","Authentification","",""
"","1639","User login with wrong email or password","LMS system","Sat Feb 07 11:54:57 UTC 2026","passed","Sat Feb 07 11:54:58 UTC 2026","Autherization","Authentification","",""
"","1638","User login with wrong email or password","LMS system","Sat Feb 07 11:54:55 UTC 2026","passed","Sat Feb 07 11:54:57 UTC 2026","Autherization","Authentification","",""
"","1961","User login with wrong email or password","LMS system","Sat Feb 07 11:55:02 UTC 2026","passed","Sat Feb 07 11:55:04 UTC 2026","Autherization","Authentification","",""
"","1657","Check displaying of empty courses list","LMS system","Sat Feb 07 11:55:14 UTC 2026","passed","Sat Feb 07 11:55:16 UTC 2026","Courses","Courses","",""
"","1783","User login with wrong email or password","LMS system","Sat Feb 07 11:54:53 UTC 2026","passed","Sat Feb 07 11:54:55 UTC 2026","Autherization","Authentification","",""
"","1653","Check displaying of empty courses list","LMS system","Sat Feb 07 11:55:10 UTC 2026","passed","Sat Feb 07 11:55:12 UTC 2026","Courses","Courses","",""
