"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1788","User login with wrong email or password","LMS system","Sat Feb 07 15:06:30 UTC 2026","passed","Sat Feb 07 15:06:32 UTC 2026","Autherization","Authentification","",""
"","1947","User login with wrong email or password","LMS system","Sat Feb 07 15:06:28 UTC 2026","passed","Sat Feb 07 15:06:30 UTC 2026","Autherization","Authentification","",""
"","1894","Check displaying of dashboard page","LMS system","Sat Feb 07 15:07:04 UTC 2026","passed","Sat Feb 07 15:07:06 UTC 2026","Dashboard","Dashboard","",""
"","1639","Navigate from login page to registration page","LMS system","Sat Feb 07 15:06:42 UTC 2026","passed","Sat Feb 07 15:06:44 UTC 2026","Autherization","Authentification","",""
"","1880","Check displaying of empty courses list","LMS system","Sat Feb 07 15:06:55 UTC 2026","passed","Sat Feb 07 15:06:57 UTC 2026","Courses","Courses","",""
"","1829","User login with wrong email or password","LMS system","Sat Feb 07 15:06:32 UTC 2026","passed","Sat Feb 07 15:06:34 UTC 2026","Autherization","Authentification","",""
"","2203","User login with wrong email or password","LMS system","Sat Feb 07 15:06:41 UTC 2026","passed","Sat Feb 07 15:06:43 UTC 2026","Autherization","Authentification","",""
"","3295","User edit course","LMS system","Sat Feb 07 15:07:00 UTC 2026","passed","Sat Feb 07 15:07:03 UTC 2026","Courses","Courses","",""
"","2446","User login with wrong email or password","LMS system","Sat Feb 07 15:06:36 UTC 2026","passed","Sat Feb 07 15:06:38 UTC 2026","Autherization","Authentification","",""
"","2039","User registration with correct email and password","LMS system","Sat Feb 07 15:06:44 UTC 2026","passed","Sat Feb 07 15:06:46 UTC 2026","Registration","Authentification","",""
"","2967","User login with correct email and password","LMS system","Sat Feb 07 15:06:28 UTC 2026","passed","Sat Feb 07 15:06:31 UTC 2026","Autherization","Authentification","",""
"","1649","Check displaying of empty courses list","LMS system","Sat Feb 07 15:06:50 UTC 2026","passed","Sat Feb 07 15:06:51 UTC 2026","Courses","Courses","",""
"","2352","User login with wrong email or password","LMS system","Sat Feb 07 15:06:39 UTC 2026","passed","Sat Feb 07 15:06:41 UTC 2026","Autherization","Authentification","",""
"","2920","User create course","LMS system","Sat Feb 07 15:06:52 UTC 2026","passed","Sat Feb 07 15:06:55 UTC 2026","Courses","Courses","",""
"","3564","User login with correct email and password","LMS system","Sat Feb 07 15:06:32 UTC 2026","passed","Sat Feb 07 15:06:36 UTC 2026","Autherization","Authentification","",""
"","3013","User create course","LMS system","Sat Feb 07 15:07:00 UTC 2026","passed","Sat Feb 07 15:07:03 UTC 2026","Courses","Courses","",""
"","1732","Check displaying of dashboard page","LMS system","Sat Feb 07 15:07:06 UTC 2026","passed","Sat Feb 07 15:07:08 UTC 2026","Dashboard","Dashboard","",""
"","2365","User registration with correct email and password","LMS system","Sat Feb 07 15:06:48 UTC 2026","passed","Sat Feb 07 15:06:50 UTC 2026","Registration","Authentification","",""
"","2111","Navigate from login page to registration page","LMS system","Sat Feb 07 15:06:45 UTC 2026","passed","Sat Feb 07 15:06:47 UTC 2026","Autherization","Authentification","",""
"","2787","User edit course","LMS system","Sat Feb 07 15:06:55 UTC 2026","passed","Sat Feb 07 15:06:58 UTC 2026","Courses","Courses","",""
