"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3054","User edit course","LMS system","Sat Feb 07 12:04:55 UTC 2026","passed","Sat Feb 07 12:04:58 UTC 2026","Courses","Courses","",""
"","3636","User create course","LMS system","Sat Feb 07 12:04:51 UTC 2026","passed","Sat Feb 07 12:04:55 UTC 2026","Courses","Courses","",""
"","2087","Check displaying of dashboard page","LMS system","Sat Feb 07 12:04:59 UTC 2026","passed","Sat Feb 07 12:05:01 UTC 2026","Dashboard","Dashboard","",""
"","1839","Check displaying of empty courses list","LMS system","Sat Feb 07 12:04:46 UTC 2026","passed","Sat Feb 07 12:04:48 UTC 2026","Courses","Courses","",""
"","1841","Navigate from login page to registration page","LMS system","Sat Feb 07 12:04:43 UTC 2026","passed","Sat Feb 07 12:04:45 UTC 2026","Autherization","Authentification","",""
"","2000","User login with wrong email or password","LMS system","Sat Feb 07 12:04:38 UTC 2026","passed","Sat Feb 07 12:04:40 UTC 2026","Autherization","Authentification","",""
"","2081","Check displaying of dashboard page","LMS system","Sat Feb 07 12:05:03 UTC 2026","passed","Sat Feb 07 12:05:05 UTC 2026","Dashboard","Dashboard","",""
"","1817","User login with wrong email or password","LMS system","Sat Feb 07 12:04:30 UTC 2026","passed","Sat Feb 07 12:04:31 UTC 2026","Autherization","Authentification","",""
"","1776","Check displaying of empty courses list","LMS system","Sat Feb 07 12:04:50 UTC 2026","passed","Sat Feb 07 12:04:52 UTC 2026","Courses","Courses","",""
"","1664","User login with wrong email or password","LMS system","Sat Feb 07 12:04:32 UTC 2026","passed","Sat Feb 07 12:04:33 UTC 2026","Autherization","Authentification","",""
"","3094","User login with correct email and password","LMS system","Sat Feb 07 12:04:32 UTC 2026","passed","Sat Feb 07 12:04:35 UTC 2026","Autherization","Authentification","",""
"","3350","User edit course","LMS system","Sat Feb 07 12:05:01 UTC 2026","passed","Sat Feb 07 12:05:04 UTC 2026","Courses","Courses","",""
"","2104","User registration with correct email and password","LMS system","Sat Feb 07 12:04:47 UTC 2026","passed","Sat Feb 07 12:04:49 UTC 2026","Registration","Authentification","",""
"","1478","User login with wrong email or password","LMS system","Sat Feb 07 12:04:35 UTC 2026","passed","Sat Feb 07 12:04:37 UTC 2026","Autherization","Authentification","",""
"","1523","Navigate from login page to registration page","LMS system","Sat Feb 07 12:04:40 UTC 2026","passed","Sat Feb 07 12:04:42 UTC 2026","Autherization","Authentification","",""
"","2647","User create course","LMS system","Sat Feb 07 12:04:55 UTC 2026","passed","Sat Feb 07 12:04:58 UTC 2026","Courses","Courses","",""
"","1898","User login with wrong email or password","LMS system","Sat Feb 07 12:04:39 UTC 2026","passed","Sat Feb 07 12:04:41 UTC 2026","Autherization","Authentification","",""
"","1860","User login with wrong email or password","LMS system","Sat Feb 07 12:04:27 UTC 2026","passed","Sat Feb 07 12:04:29 UTC 2026","Autherization","Authentification","",""
"","2033","User registration with correct email and password","LMS system","Sat Feb 07 12:04:42 UTC 2026","passed","Sat Feb 07 12:04:44 UTC 2026","Registration","Authentification","",""
"","2886","User login with correct email and password","LMS system","Sat Feb 07 12:04:27 UTC 2026","passed","Sat Feb 07 12:04:30 UTC 2026","Autherization","Authentification","",""
