"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3410","User login with correct email and password","LMS system","Sun Feb 15 12:58:01 UTC 2026","passed","Sun Feb 15 12:58:05 UTC 2026","Autherization","Authentification","",""
"","2962","User create course","LMS system","Sun Feb 15 12:58:27 UTC 2026","passed","Sun Feb 15 12:58:30 UTC 2026","Courses","Courses","",""
"","1921","User login with wrong email or password","LMS system","Sun Feb 15 12:58:04 UTC 2026","passed","Sun Feb 15 12:58:06 UTC 2026","Autherization","Authentification","",""
"","1986","Navigate from login page to registration page","LMS system","Sun Feb 15 12:58:17 UTC 2026","passed","Sun Feb 15 12:58:19 UTC 2026","Autherization","Authentification","",""
"","1363","Check displaying of empty courses list","LMS system","Sun Feb 15 12:58:21 UTC 2026","passed","Sun Feb 15 12:58:22 UTC 2026","Courses","Courses","",""
"","1633","Check displaying of dashboard page","LMS system","Sun Feb 15 12:58:40 UTC 2026","passed","Sun Feb 15 12:58:42 UTC 2026","Dashboard","Dashboard","",""
"","1727","Navigate from login page to registration page","LMS system","Sun Feb 15 12:58:15 UTC 2026","passed","Sun Feb 15 12:58:17 UTC 2026","Autherization","Authentification","",""
"","3127","User login with correct email and password","LMS system","Sun Feb 15 12:58:06 UTC 2026","passed","Sun Feb 15 12:58:10 UTC 2026","Autherization","Authentification","",""
"","1570","User login with wrong email or password","LMS system","Sun Feb 15 12:58:14 UTC 2026","passed","Sun Feb 15 12:58:16 UTC 2026","Autherization","Authentification","",""
"","2932","User edit course","LMS system","Sun Feb 15 12:58:30 UTC 2026","passed","Sun Feb 15 12:58:33 UTC 2026","Courses","Courses","",""
"","3055","User edit course","LMS system","Sun Feb 15 12:58:35 UTC 2026","passed","Sun Feb 15 12:58:38 UTC 2026","Courses","Courses","",""
"","2064","Check displaying of empty courses list","LMS system","Sun Feb 15 12:58:24 UTC 2026","passed","Sun Feb 15 12:58:27 UTC 2026","Courses","Courses","",""
"","2288","User login with wrong email or password","LMS system","Sun Feb 15 12:58:01 UTC 2026","passed","Sun Feb 15 12:58:03 UTC 2026","Autherization","Authentification","",""
"","2494","User registration with correct email and password","LMS system","Sun Feb 15 12:58:22 UTC 2026","passed","Sun Feb 15 12:58:24 UTC 2026","Registration","Authentification","",""
"","2068","User registration with correct email and password","LMS system","Sun Feb 15 12:58:17 UTC 2026","passed","Sun Feb 15 12:58:19 UTC 2026","Registration","Authentification","",""
"","2468","Check displaying of dashboard page","LMS system","Sun Feb 15 12:58:34 UTC 2026","passed","Sun Feb 15 12:58:36 UTC 2026","Dashboard","Dashboard","",""
"","1875","User login with wrong email or password","LMS system","Sun Feb 15 12:58:06 UTC 2026","passed","Sun Feb 15 12:58:08 UTC 2026","Autherization","Authentification","",""
"","2551","User create course","LMS system","Sun Feb 15 12:58:29 UTC 2026","passed","Sun Feb 15 12:58:32 UTC 2026","Courses","Courses","",""
"","1700","User login with wrong email or password","LMS system","Sun Feb 15 12:58:12 UTC 2026","passed","Sun Feb 15 12:58:14 UTC 2026","Autherization","Authentification","",""
"","1640","User login with wrong email or password","LMS system","Sun Feb 15 12:58:10 UTC 2026","passed","Sun Feb 15 12:58:11 UTC 2026","Autherization","Authentification","",""
