"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1662","Check displaying of dashboard page","LMS system","Sat Feb 07 15:08:04 UTC 2026","passed","Sat Feb 07 15:08:06 UTC 2026","Dashboard","Dashboard","",""
"","2913","User login with correct email and password","LMS system","Sat Feb 07 15:07:33 UTC 2026","passed","Sat Feb 07 15:07:36 UTC 2026","Autherization","Authentification","",""
"","3169","User create course","LMS system","Sat Feb 07 15:07:57 UTC 2026","passed","Sat Feb 07 15:08:00 UTC 2026","Courses","Courses","",""
"","2953","User edit course","LMS system","Sat Feb 07 15:07:54 UTC 2026","passed","Sat Feb 07 15:07:57 UTC 2026","Courses","Courses","",""
"","2022","User login with wrong email or password","LMS system","Sat Feb 07 15:07:40 UTC 2026","passed","Sat Feb 07 15:07:42 UTC 2026","Autherization","Authentification","",""
"","1793","User login with wrong email or password","LMS system","Sat Feb 07 15:07:31 UTC 2026","passed","Sat Feb 07 15:07:32 UTC 2026","Autherization","Authentification","",""
"","1595","Navigate from login page to registration page","LMS system","Sat Feb 07 15:07:41 UTC 2026","passed","Sat Feb 07 15:07:43 UTC 2026","Autherization","Authentification","",""
"","3032","User login with correct email and password","LMS system","Sat Feb 07 15:07:28 UTC 2026","passed","Sat Feb 07 15:07:31 UTC 2026","Autherization","Authentification","",""
"","1833","Check displaying of dashboard page","LMS system","Sat Feb 07 15:08:01 UTC 2026","passed","Sat Feb 07 15:08:03 UTC 2026","Dashboard","Dashboard","",""
"","2005","Navigate from login page to registration page","LMS system","Sat Feb 07 15:07:44 UTC 2026","passed","Sat Feb 07 15:07:46 UTC 2026","Autherization","Authentification","",""
"","2766","User create course","LMS system","Sat Feb 07 15:07:50 UTC 2026","passed","Sat Feb 07 15:07:53 UTC 2026","Courses","Courses","",""
"","1999","Check displaying of empty courses list","LMS system","Sat Feb 07 15:07:52 UTC 2026","passed","Sat Feb 07 15:07:54 UTC 2026","Courses","Courses","",""
"","1925","User registration with correct email and password","LMS system","Sat Feb 07 15:07:43 UTC 2026","passed","Sat Feb 07 15:07:45 UTC 2026","Registration","Authentification","",""
"","1685","User login with wrong email or password","LMS system","Sat Feb 07 15:07:33 UTC 2026","passed","Sat Feb 07 15:07:34 UTC 2026","Autherization","Authentification","",""
"","1925","User login with wrong email or password","LMS system","Sat Feb 07 15:07:36 UTC 2026","passed","Sat Feb 07 15:07:38 UTC 2026","Autherization","Authentification","",""
"","2171","User registration with correct email and password","LMS system","Sat Feb 07 15:07:46 UTC 2026","passed","Sat Feb 07 15:07:48 UTC 2026","Registration","Authentification","",""
"","1834","User login with wrong email or password","LMS system","Sat Feb 07 15:07:38 UTC 2026","passed","Sat Feb 07 15:07:40 UTC 2026","Autherization","Authentification","",""
"","2032","User login with wrong email or password","LMS system","Sat Feb 07 15:07:28 UTC 2026","passed","Sat Feb 07 15:07:30 UTC 2026","Autherization","Authentification","",""
"","2697","User edit course","LMS system","Sat Feb 07 15:07:59 UTC 2026","passed","Sat Feb 07 15:08:02 UTC 2026","Courses","Courses","",""
"","1540","Check displaying of empty courses list","LMS system","Sat Feb 07 15:07:49 UTC 2026","passed","Sat Feb 07 15:07:50 UTC 2026","Courses","Courses","",""
